OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu0125,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0126,Archaea,Miscellaneous_Crenarchaeotic_Group,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,
Otu0127,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0128,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0129,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0130,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0131,Archaea,Euryarchaeota,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,
Otu0132,Archaea,Miscellaneous_Crenarchaeotic_Group,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,
Otu0133,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0134,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,
Otu0135,Archaea,Thaumarchaeota,Marine_Benthic_Group_B,Marine_Benthic_Group_B_unclassified,Marine_Benthic_Group_B_unclassified,Marine_Benthic_Group_B_unclassified,
Otu0136,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0137,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,
Otu0138,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,
Otu0139,Archaea,Thaumarchaeota,Marine_Group_I,Unknown_Order,Unknown_Family,Candidatus_Nitrosoarchaeum,
Otu0140,Archaea,Crenarchaeota,Thermoprotei,Terrestrial_Miscellaneous_Gp(TMCG),Terrestrial_Miscellaneous_Gp(TMCG)_unclassified,Terrestrial_Miscellaneous_Gp(TMCG)_unclassified,
Otu0141,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0142,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0143,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulacea,Methanoline,
