,M_01A_001,M_01B_002,M_01C_003,M_02A_004,M_02B_005,M_02C_006,M_02D_007,M_03A_008,M_03B_009,M_03C_010,M_04A_011,M_04B_014,M_04C_017,M_05A_020,M_05C_022,M_06A_023,M_06B_024,M_06C_025,M_07B_027,M_07C_028,M_08A_029,M_08B_030,M_08C_031,M_09A_032,M_09B_033,M_09C_034,M_10A_035,M_10B_036,M_10C_037,M_11A_038,M_11B_039,M_11C_040,M_12A_041,M_12B_042,M_12C_043,M_13A_044,M_13B_045,M_13C_046,M_14A_047,M_14B_048,M_14C_049,M_15A_050,M_15B_051,M_15C_052
Otu0089,3,4,5,16,0,2,0,0,0,1,1,0,1,1,0,2,0,0,5,1,3,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Otu0090,0,9,0,11,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,11,0,0,0,0,0,0,0,0,0,0,0,0
Otu0091,0,3,1,5,1,0,1,0,0,2,8,5,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,3,13,0,1,0,0,0,0,0,0,0,0,0,0
Otu0092,3,4,0,5,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,26,8,15,0,0,0,0,0,0,0,0,0,0,0,0
Otu0093,2,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,6,5,12,2,0,3,0,0,0,2,0,0,0,0,0
Otu0094,1,1,0,8,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,2,3,0,0,0,1,0,10,0,8,0,2,0,0,2,1,0,0,0,0,0,0
Otu0095,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,2,14,0,0,0,0,0,0,0,0,0,0,0,0
Otu0096,0,0,0,0,0,0,0,0,0,1,5,6,4,0,0,1,1,0,0,0,0,0,2,0,0,2,0,1,0,8,1,15,0,0,0,0,0,0,0,0,2,0,1,0
Otu0097,0,1,0,2,0,0,0,0,0,2,7,5,10,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,4,2,13,0,2,2,1,0,0,0,0,0,0,0,0
Otu0098,0,2,1,13,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9,0,0,0,0,0,0,3,0,0,0,0,0
